srno,Category,Question,Answer,No,NA,Comment
14,C,"A test has a true positive rate of 100% and false positive rate of 5%. There is a population with a 1/1000 rate of having the condition the test identifies. Considering a positive test, what is the probability of having that condition?",Yes,,,"Let’s suppose you are being tested for a disease, if you have the illness the test will end up saying you have the illness. However, if you don’t have the illness- 5% of the times the test will end up saying you have the illness and 95% of the times the test will give accurate result that you don’t have the illness. Thus there is a 5% error in case you do not have the illness.

Out of 1000 people, 1 person who has the disease will get true positive result.

Out of the remaining 999 people, 5% will also get true positive result.

Close to 50 people will get a true positive result for the disease.

This means that out of 1000 people, 51 people will be tested positive for the disease even though only one person has the illness. There is only a 2% probability of you having the disease even if your reports say that you have the disease."
15,C,is there any difference between Supervised Learning an Unsupervised Learning?,Yes,,,"If an algorithm learns something from the training data so that the knowledge can be applied to the test data, then it is referred to as Supervised Learning. Classification is an example for Supervised Learning. If the algorithm does not learn anything beforehand because there is no response variable or any training data, then it is referred to as unsupervised learning. Clustering is an example for unsupervised learning."
16,,Are you reading about Linux?,No,,,
17,,Most servers use Windows?,No,,,
18,, popularity of Linux is growing,No,,,
19,,have you go to the training day they told us about at the last meeting,No,,,
20,,are you talking about the computer training,No,,,
21,,Are you reading about machine learning?,No,,,
22,,R is better than python?,No,,,
23,,Are expected value and mean value different?,No,,,"They are not different but the terms are used in different contexts. Mean is generally referred when talking about a probability distribution or sample population whereas expected value is generally referred in a random variable context.

For Sampling Data

Mean value is the only value that comes from the sampling data.

Expected Value is the mean of all the means i.e. the value that is built from multiple samples. Expected value is the population mean.

For Distributions

Mean value and Expected value are same irrespective of the distribution, under the condition that the distribution is in the same population."
24,, Do gradient descent methods always converge to same point?,No,,,"No, they do not because in some cases it reaches a local minima or a local optima point. You don’t reach the global optima point. It depends on the data and starting conditions"
25,,"Is Naïve Bayes bad? If yes, under what aspects.",No,,,
26,,Is it better to have too many false negatives or too many false positives?,No,,,
27,,A coin is flipped 1000 times and 560 times heads show up. Do you think the coin is biased?,No,,,
